,Player,Team,2021-22 Salary
437,Jalen McDaniels,CHO,"$1,782,621"
440,Drew Eubanks,SAS,"$1,762,796"
441,Chimezie Metu,SAC,"$1,762,796"
442,Yuta Watanabe,TOR,"$1,762,769"
443,Svi Mykhailiuk,TOR,"$1,729,217"
444,Keita Bates-Diop,SAS,"$1,729,217"
445,Moritz Wagner,ORL,"$1,729,217"
446,Thanasis Antetokounmpo,MIL,"$1,729,217"
447,Isaac Bonga,TOR,"$1,729,217"
448,Wayne Selden,NYK,"$1,729,217"
449,Isaiah Hartenstein,LAC,"$3,430,810"
450,Brad Wanamaker,IND,"$1,729,217"
451,Alize Johnson,CHI,"$1,729,217"
452,Juan Toscano-Anderson,GSW,"$1,701,593"
453,Oshae Brissett,IND,"$1,701,593"
454,Kelan Martin,IND,"$1,701,593"
455,Moses Brown,DAL,"$1,701,593"
457,Herb Jones,NOP,"$1,700,000"
458,Jordan McLaughlin,MIN,"$1,669,178"
459,Javonte Green,CHI,"$1,669,178"
462,Max Strus,MIA,"$1,669,178"
463,Gabe Vincent,MIA,"$1,669,178"
464,Kevin Pangos,CLE,"$1,669,178"
465,Matt Thomas,CHI,"$1,669,178"
466,Xavier Tillman Sr.,MEM,"$1,517,981"
467,Vernon Carey Jr.,CHO,"$1,517,981"
468,Robert Woodard,SAC,"$1,517,981"
469,Elijah Hughes,UTA,"$1,517,981"
470,Tre Jones,SAS,"$1,517,981"
471,Jahmi'us Ramsey,SAC,"$1,517,981"
472,CJ Elleby,POR,"$1,517,981"
473,Isaiah Joe,PHI,"$1,517,981"
474,Naji Marshall,NOP,"$1,517,981"
475,Jordan Nwora,MIL,"$1,517,981"
476,Nick Richards,CHO,"$1,517,981"
477,Sam Merrill,MEM,"$1,517,981"
478,Anthony Gill,WAS,"$1,517,981"
479,Paul Reed,PHI,"$1,517,981"
480,Kenyon Martin Jr.,HOU,"$1,517,981"
481,Jae'Sean Tate,HOU,"$1,517,981"
484,Lamar Stevens,CLE,"$1,517,981"
485,Isaiah Todd,WAS,"$1,500,000"
486,Saben Lee,DET,"$1,489,065"
487,Omer Yurtseven,MIA,"$1,489,065"
488,Armoni Brooks,HOU,"$1,489,065"
489,Jaylen Morris,SAS,"$1,489,065"
490,J.R. Smith,CLE,"$1,456,666"
492,DeMarre Carroll,SAS,"$1,252,127"
493,JT Thor,CHO,"$1,250,000"
494,Jason Preston,LAC,"$1,062,303"
495,Isaiah Livers,DET,"$1,057,260"
496,Guerschon Yabusele,BOS,"$1,039,080"
497,Kyle Singler,OKC,"$999,200"
498,Jared Butler,UTA,"$925,258"
499,Greg Brown III,POR,"$925,258"
500,Miles McBride,NYK,"$925,258"
501,Brandon Boston Jr.,LAC,"$925,258"
502,Marko Simonovic,CHI,"$925,258"
503,Vit Krejci,OKC,"$925,258"
506,Charles Bassey,PHI,"$925,258"
507,Dalano Banton,TOR,"$925,258"
508,Jock Landale,SAS,"$925,258"
509,Ayo Dosunmu,CHI,"$925,258"
510,Georgios Kalaitzakis,MIL,"$925,258"
511,Denzel Mahoney,SAS,"$925,258"
512,Austin Reaves,LAL,"$925,258"
513,Luka Garza,DET,"$925,258"
514,Shaun Livingston,GSW,"$666,666"
515,Sam Dekker,TOR,"$350,000"
517,Troy Williams,HOU,"$122,741"
519,Demetrius Jackson,BOS,"$92,857"
